cl_id,cl_tracked,cl_fraud,cl_refunded,cb_amount,rf_amount,pv,revenue,co_name,gender,datecl,payment_method,mid,pid,card_brand,ps_id,pss_id
5120,0,1,0,49.28,24.8,2000.08,341.44,Canada,male,2021-02-27,Mobile,106,1226,JBC,15,54
8318,1,0,0,17.92,8.32,4446.48,95.16,Germany,female,2021-01-19,Bank transfers,266,1059,Amex,10,52
9663,1,0,0,45.36,49.4,1862.8,790.12,United States,male,2021-02-05,E-Wallet,75,1270,Visa,11,100
1812,0,0,0,20.88,1.32,4403.84,946.4,Iran,female,2021-02-21,E-Wallet,140,1184,MasterCard,56,39
9726,0,1,0,26.84,4.64,4652.16,721.6,Germany,male,2021-02-27,Bank transfers,52,1049,Visa,62,54
6973,0,1,1,46.52,47.64,2106.52,338.8,United States,female,2021-03-31,Credit cards,235,1238,Amex,90,1
627,0,0,1,47.4,32.76,2246.44,953.8,Germany,male,2021-01-12,Bank transfers,238,1187,Visa,19,43
7336,1,1,1,3.12,3,2102.56,755.12,Finland,male,2021-03-21,Credit cards,39,1107,JBC,36,99
7419,0,1,0,38.84,9.68,3938.84,428.28,Turkey,male,2021-03-03,Credit cards,249,1075,MasterCard,8,37
3729,1,0,0,32.44,43.48,1824.76,681.2,Canada,male,2021-01-28,Mobile,282,1241,Visa,48,29
5066,0,0,0,48.04,32.2,3061.24,758.4,Netherlands,male,2021-04-01,Credit cards,189,1045,Amex,91,40
3249,0,1,1,2.24,7.4,2785.48,380.84,Brazil,male,2021-01-22,Prepaid cards,64,1052,JBC,25,90
5993,1,1,1,25.96,12.52,4968.88,892.96,Finland,female,2021-01-31,Credit cards,185,1068,JBC,9,70
6200,1,1,0,16.24,34.08,3976.6,154.12,Iran,female,2021-01-29,E-Wallet,131,1147,Amex,92,34
6928,1,1,0,45.32,7.48,1166.52,404.08,Switzerland,female,2021-03-15,Bank transfers,256,1253,MasterCard,77,80
7109,1,1,0,5.48,30.68,2385.92,278.16,Iran,male,2021-01-29,Credit cards,55,1268,Visa,28,31
6703,1,1,1,41.36,41,1740.88,688.44,New Zealand,female,2021-01-25,Mobile,58,1201,MasterCard,7,71
1988,1,0,1,9.12,27.68,3783.56,633.2,Australia,female,2021-02-08,Prepaid cards,114,1142,Amex,9,60
907,1,1,0,12.84,46.12,4655.56,984.56,Norway,male,2021-03-13,Bank transfers,120,1217,Amex,86,97
4296,1,1,0,22.48,22.8,2029.76,112.92,Germany,female,2021-01-09,Prepaid cards,142,1293,MasterCard,71,84
5934,1,1,0,17.92,43.76,4352.04,149.24,Australia,female,2021-03-23,Prepaid cards,269,1200,MasterCard,47,92
2625,1,0,0,27.16,31.84,2518.44,272.96,United Kingdom,male,2021-01-18,Mobile,102,1060,MasterCard,54,24
4245,0,1,1,10.12,22.48,1238,886.52,United States,male,2021-01-25,E-Wallet,136,1091,JBC,32,15
8008,1,1,1,9.76,26.16,4766.32,627.12,Germany,male,2021-01-07,Credit cards,8,1146,Amex,86,62
9265,0,0,0,5.16,12.48,2981.88,843.96,Iran,male,2021-01-21,E-Wallet,90,1125,Amex,35,35
4248,1,0,1,44.96,37.96,4483.68,178.96,United Kingdom,male,2021-02-24,Prepaid cards,148,1121,JBC,40,79
2242,0,1,0,8.68,43.96,2422.12,841.84,Turkey,female,2021-01-02,Bank transfers,213,1218,MasterCard,60,46
3187,0,0,1,7.76,41.84,1026.28,207.44,Ireland,male,2021-03-17,Mobile,70,1035,JBC,72,47
18,1,1,0,20.04,2.44,1819.04,878.68,France,female,2021-01-28,Credit cards,286,1044,JBC,58,69
7646,1,0,1,32.96,10.96,4556.68,700.28,Ireland,female,2021-03-21,Credit cards,33,1020,JBC,69,25
6617,1,0,1,13.44,40.96,4661.32,213.32,Norway,female,2021-03-13,Bank transfers,142,1213,MasterCard,21,88
3505,0,1,0,34.88,21.96,2922.88,932,United States,male,2021-03-01,Bank transfers,245,1019,Amex,7,86
3683,0,1,1,45.68,27.48,2487.8,223.76,Australia,female,2021-01-20,E-Wallet,237,1095,MasterCard,97,73
3964,0,0,1,37.64,18.24,3978.92,589.8,Canada,male,2021-01-02,E-Wallet,93,1169,MasterCard,3,52
8798,1,1,1,11.76,31.64,3522.68,414.44,Norway,male,2021-01-11,Mobile,63,1080,Visa,87,16
2366,0,0,1,40.08,32.92,3900.12,904.32,Norway,male,2021-02-10,Bank transfers,240,1223,Visa,27,87
1366,1,0,0,32.56,13,1585.44,414.76,Netherlands,male,2021-01-28,Bank transfers,192,1166,JBC,56,90
7160,0,1,0,46.16,39.24,1172.56,966.08,Australia,female,2021-02-06,Bank transfers,195,1211,MasterCard,11,68
9511,0,0,0,12.08,5.88,2284.04,478.16,Finland,female,2021-02-07,Bank transfers,152,1013,Visa,47,10
9243,0,0,1,44.76,45.36,3664.32,807.56,Iran,female,2021-02-14,Credit cards,130,1127,JBC,19,95
1675,1,1,0,46.8,26.4,1097.6,723.08,Germany,female,2021-01-04,Credit cards,251,1063,Amex,19,44
8064,0,1,1,1.36,7.6,3469.52,950.56,New Zealand,female,2021-02-13,Mobile,97,1204,JBC,57,70
